time,open,high,low,close,Volume,Volume MA
2020-07-11T08:00:00Z,9269.7,9273.51,9259.35,9259.35,56.40201853,96.31110428700453
2020-07-11T09:00:00Z,9259.35,9263.53,9180,9205.31,265.1648991,97.55382444350452
2020-07-11T10:00:00Z,9205.31,9234.67,9200.69,9210.14,43.89817547,94.79507932650452
2020-07-11T11:00:00Z,9208.79,9225.93,9200.16,9202.69,59.06508435,83.49990384050453
2020-07-11T12:00:00Z,9200.16,9227.14,9196.36,9206.37,57.96478313,81.20970308050453
2020-07-11T13:00:00Z,9208.06,9231.13,9197.79,9221.69,86.67331207,81.87415341500453
2020-07-11T14:00:00Z,9222,9235.87,9206.24,9235.41,48.78856003,79.13019078800453
2020-07-11T15:00:00Z,9235.41,9235.41,9223.82,9225.89,20.60130472,74.35436745350452
2020-07-11T16:00:00Z,9230.64,9254.84,9212,9218.44,62.92194533,73.16420271050453
2020-07-11T17:00:00Z,9214.67,9226.13,9205.47,9220.32,66.44592904,73.46966961000453
2020-07-11T18:00:00Z,9217.67,9227.14,9206.46,9224.86,65.20797365,71.72258600450452
2020-07-11T19:00:00Z,9227.21,9228,9202.79,9202.95,24.20494969,61.72617954300451
2020-07-11T20:00:00Z,9208.32,9218.58,9201.17,9218.58,30.68762848,59.36278404500452
2020-07-11T21:00:00Z,9219.03,9225.68,9204.65,9221.81,99.4066704,62.260474752004505
2020-07-11T22:00:00Z,9222.02,9236.9,9209.42,9218,58.32057675,62.444050494004514
2020-07-11T23:00:00Z,9218,9251.67,9217.29,9238.3,30.22689286,62.195156774504504
2020-07-12T00:00:00Z,9234.07,9266.45,9234.07,9252.43,56.1535087,62.95589786650451
2020-07-12T01:00:00Z,9253.76,9293.28,9243.91,9268.9,81.1389958,65.0774410750045
2020-07-12T02:00:00Z,9277.08,9280.64,9260.86,9268.31,27.06657097,64.9197297295045
2020-07-12T03:00:00Z,9272.49,9290.7,9271,9271.68,97.56237497,66.89510770200451
2020-07-12T04:00:00Z,9275.36,9292,9262.02,9267.96,71.09411325,67.6297124380045
2020-07-12T05:00:00Z,9271.38,9281.4,9260.41,9267.48,90.75343494,58.909139230004506
2020-07-12T06:00:00Z,9269.41,9272.79,9253.82,9258.34,25.69678858,57.999069885504504
2020-07-12T07:00:00Z,9258.41,9267.75,9243.78,9252.8,56.76461212,57.884046274004504
2020-07-12T08:00:00Z,9257.29,9275,9250.86,9252.83,22.89853218,56.130733726504516
2020-07-12T09:00:00Z,9253.26,9267.35,9240,9266.92,76.0078344,55.597459843004515
2020-07-12T10:00:00Z,9261.08,9269.91,9257.18,9261.21,37.10661871,55.01336277700451
2020-07-12T11:00:00Z,9262.24,9263.99,9242.44,9245.44,30.35670842,55.50113296200451
2020-07-12T12:00:00Z,9246.48,9273.89,9245,9267.66,43.72137052,54.54110422150451
2020-07-12T13:00:00Z,9266.78,9347.76,9185.36,9218.22,593.61126268,80.8993709035045
2020-07-12T14:00:00Z,9211.28,9231.59,9200.34,9220.06,75.27780872,81.4028626570045
2020-07-12T15:00:00Z,9217.85,9229.47,9208,9213.32,55.39716069,82.9624732070045
2020-07-12T16:00:00Z,9215.17,9228.12,9208.41,9212.87,19.82403869,82.4192937175045
2020-07-12T17:00:00Z,9215.18,9223.14,9205.16,9214.88,20.05777768,78.4518490815045
2020-07-12T18:00:00Z,9214.89,9225.5,9209.37,9221.61,104.98081582,80.78486103500451
2020-07-12T19:00:00Z,9217,9236.44,9153.48,9221.81,129.88631827,85.76783230550451
2020-07-12T20:00:00Z,9219.65,9234.26,9213.92,9232.36,14.10705219,83.66550948000452
2020-07-12T21:00:00Z,9232.36,9279.85,9219.41,9270.25,114.34991346,85.32605536300451
2020-07-12T22:00:00Z,9269.03,9339.4,9269.03,9295.51,151.36969046,91.5412113375045
2020-07-12T23:00:00Z,9296.1,9306.17,9273.7,9306.17,41.97032823,88.7616090005045
2020-07-13T00:00:00Z,9304.94,9323,9264.35,9276.63,66.22163666,88.51798517100451
2020-07-13T01:00:00Z,9276.52,9305.09,9273.06,9282.9,114.14228537,89.68742769250451
2020-07-13T02:00:00Z,9282.99,9290.94,9270.51,9279.17,30.45669013,89.92542277000452
2020-07-13T03:00:00Z,9281.98,9288.37,9268.04,9269.41,35.42833672,88.85860900000452
2020-07-13T04:00:00Z,9274.05,9281.98,9262.46,9268.41,48.98573515,90.16296914850452
2020-07-13T05:00:00Z,9271.98,9284.61,9268.04,9279.67,54.65727863,89.09544136000451
2020-07-13T06:00:00Z,9280.69,9293.54,9243.76,9261.9,169.44714032,95.71246744050451
2020-07-13T07:00:00Z,9261.85,9277.55,9257.46,9265.04,211.62251546,104.7757577925045
2020-07-13T08:00:00Z,9265.21,9288.82,9265.21,9278.5,118.48369084,108.51387380850448
2020-07-13T09:00:00Z,9282.41,9290,9272.1,9283.03,87.49041192,83.2078312705045
2020-07-13T10:00:00Z,9282.92,9309.79,9265.22,9282.67,84.29046045,83.65846385700449
2020-07-13T11:00:00Z,9284.13,9316.11,9284.13,9307.03,108.93799702,86.3355056735045
2020-07-13T12:00:00Z,9302.38,9351.17,9276.19,9316.63,280.80519983,99.3845637305045
2020-07-13T13:00:00Z,9318.7,9331,9288.22,9315.93,191.75633922,107.96949180750451
2020-07-13T14:00:00Z,9322.04,9332.9,9300.11,9302.37,317.15374798,118.57813841550451
2020-07-13T15:00:00Z,9300,9318.18,9281.68,9291.69,345.20778761,129.3442118825045
2020-07-13T16:00:00Z,9292.64,9305.49,9287.44,9304.87,167.13027251,136.9953728985045
2020-07-13T17:00:00Z,9308.06,9325.32,9302.86,9315,238.55639159,143.2056968050045
2020-07-13T18:00:00Z,9315,9315,9266.1,9285.4,200.82024801,145.6782246825045
2020-07-13T19:00:00Z,9287.98,9290.56,9190.49,9231.92,485.3132918,167.84537286100448
