time,open,high,low,close,Volume,Volume MA
2015-12-31T12:00:00Z,98.459,98.702,98.4,98.686,NaN,NaN
2015-12-31T16:00:00Z,98.682,98.75,98.53,98.699,NaN,NaN
2015-12-31T20:00:00Z,98.698,98.778,98.565,98.693,NaN,NaN
2016-01-01T16:00:00Z,98.694,98.694,98.694,98.694,NaN,NaN
2016-01-01T20:00:00Z,98.683,98.683,98.683,98.683,NaN,NaN
2016-01-04T00:00:00Z,98.745,98.951,98.567,98.589,NaN,NaN
2016-01-04T04:00:00Z,98.583,98.601,98.214,98.268,NaN,NaN
2016-01-04T08:00:00Z,98.265,98.321,98.049,98.204,NaN,NaN
2016-01-04T12:00:00Z,98.205,99.028,98.159,99.015,NaN,NaN
2016-01-04T16:00:00Z,99.019,99.182,98.86,98.869,NaN,NaN
2016-01-04T20:00:00Z,98.865,98.879,98.799,98.851,NaN,NaN
2016-01-05T00:00:00Z,98.872,98.945,98.747,98.894,NaN,NaN
2016-01-05T04:00:00Z,98.895,99,98.787,98.964,NaN,NaN
2016-01-05T08:00:00Z,98.957,99.299,98.884,99.28,NaN,NaN
2016-01-05T12:00:00Z,99.281,99.634,99.23,99.574,NaN,NaN
2016-01-05T16:00:00Z,99.569,99.576,99.379,99.404,NaN,NaN
2016-01-05T20:00:00Z,99.403,99.43,99.302,99.333,NaN,NaN
2016-01-06T00:00:00Z,99.39,99.452,99.172,99.38,NaN,NaN
2016-01-06T04:00:00Z,99.381,99.561,99.33,99.506,NaN,NaN
2016-01-06T08:00:00Z,99.509,99.577,99.336,99.367,NaN,NaN
2016-01-06T12:00:00Z,99.37,99.57,99.277,99.464,NaN,NaN
2016-01-06T16:00:00Z,99.468,99.479,99.114,99.181,NaN,NaN
2016-01-06T20:00:00Z,99.183,99.265,99.108,99.256,NaN,NaN
2016-01-07T00:00:00Z,99.215,99.278,98.917,98.98,NaN,NaN
2016-01-07T04:00:00Z,98.979,99.213,98.894,99.211,NaN,NaN
2016-01-07T08:00:00Z,99.21,99.297,98.64,98.706,NaN,NaN
2016-01-07T12:00:00Z,98.701,98.938,98.64,98.938,NaN,NaN
2016-01-07T16:00:00Z,98.935,98.946,98.203,98.219,NaN,NaN
2016-01-07T20:00:00Z,98.224,98.327,98.169,98.294,NaN,NaN
2016-01-08T00:00:00Z,98.31,98.68,98.308,98.556,NaN,NaN
2016-01-08T04:00:00Z,98.555,98.788,98.551,98.57,NaN,NaN
2016-01-08T08:00:00Z,98.582,98.767,98.502,98.696,NaN,NaN
2016-01-08T12:00:00Z,98.697,99.183,98.477,98.508,NaN,NaN
2016-01-08T16:00:00Z,98.498,98.751,98.439,98.54,NaN,NaN
